진료년도,주상병코드,성별,입원외래구분,환자수(명),청구건수(건),요양급여비용(원)
2013,B48,여,외래,1720 ,3728 ,44407420 
2013,B48,남,입원,12 ,14 ,81324370 
2013,B48,여,입원,9 ,10 ,26995520 
2013,B49,남,외래,3520 ,6248 ,121411020 
2013,B49,여,외래,4764 ,8417 ,149518340 
2013,B49,남,입원,76 ,87 ,283878180 
2013,B49,여,입원,87 ,97 ,273057500 
2013,B50,남,외래,112 ,168 ,6568300 
2013,B50,여,외래,75 ,92 ,2515040 
2013,B50,남,입원,40 ,46 ,81559210 
2013,B50,여,입원,5 ,7 ,22567770 
2013,B51,남,외래,162 ,251 ,9344580 
2013,B51,여,외래,64 ,126 ,4607070 
2013,B51,남,입원,120 ,132 ,115051650 
2013,B51,여,입원,38 ,39 ,40800870 
2013,B52,남,외래,20 ,21 ,99730 
2013,B52,여,외래,14 ,14 ,72620 
2013,B53,남,외래,31 ,35 ,626040 
2013,B53,여,외래,19 ,23 ,376780 
2013,B53,남,입원,5 ,5 ,3730370 
2013,B53,여,입원,5 ,5 ,8258650 
2013,B54,남,외래,679 ,837 ,28966210 
2013,B54,여,외래,495 ,556 ,10701020 
2013,B54,남,입원,138 ,149 ,153796400 
2013,B54,여,입원,31 ,35 ,34678440 
2013,B55,남,외래,4 ,25 ,968090 
2013,B55,여,외래,3 ,5 ,165550 
2013,B56,남,외래,16 ,20 ,794030 
2013,B56,여,외래,10 ,15 ,272610 
2013,B57,여,외래,2 ,4 ,25560 
2013,B58,남,외래,111 ,341 ,29355690 
2013,B58,여,외래,126 ,325 ,14758800 
2013,B58,남,입원,7 ,8 ,73698580 
2013,B58,여,입원,1 ,3 ,48223810 
2013,B59,남,외래,50 ,116 ,33187500 
2013,B59,여,외래,24 ,67 ,11216850 
2013,B59,남,입원,34 ,40 ,397630300 
2013,B59,여,입원,17 ,21 ,204314950 
2013,B60,남,외래,313 ,377 ,6988220 
2013,B60,여,외래,355 ,513 ,10594620 
2013,B64,남,외래,29 ,41 ,548970 
2013,B64,여,외래,22 ,29 ,409590 
2013,B65,남,외래,56 ,99 ,993530 
2013,B65,여,외래,58 ,79 ,682830 
2013,B66,남,외래,4000 ,5289 ,148244260 
2013,B66,여,외래,1652 ,2405 ,62090100 
2013,B66,남,입원,74 ,106 ,156637520 
2013,B66,여,입원,35 ,59 ,89844970 
2013,B67,남,외래,8 ,9 ,1873960 
2013,B67,여,외래,10 ,17 ,1121170 
2013,B67,남,입원,1 ,1 ,6970190 
2013,B68,남,외래,55 ,80 ,1174390 
2013,B68,여,외래,33 ,53 ,976870 
2013,B69,남,외래,302 ,926 ,43100520 
2013,B69,여,외래,195 ,503 ,28687830 
2013,B69,남,입원,41 ,52 ,167666640 
2013,B69,여,입원,23 ,25 ,44542580 
2013,B70,남,외래,80 ,215 ,7949010 
2013,B70,여,외래,49 ,120 ,4820420 
2013,B70,남,입원,13 ,17 ,34116740 
2013,B70,여,입원,6 ,6 ,5622270 
2013,B71,남,외래,40 ,42 ,787910 
2013,B71,여,외래,33 ,55 ,1238770 
2013,B72,여,외래,12 ,21 ,430470 
2013,B73,여,외래,10 ,11 ,159760 
2013,B74,남,외래,2 ,2 ,74690 
2013,B74,여,외래,4 ,4 ,58900 
2013,B75,남,외래,10 ,26 ,991930 
2013,B75,여,외래,3 ,6 ,319550 
2013,B75,여,입원,1 ,1 ,271750 
2013,B76,남,외래,449 ,491 ,3611040 
2013,B76,여,외래,640 ,687 ,5070670 
2013,B77,남,외래,504 ,550 ,6732550 
2013,B77,여,외래,577 ,649 ,5289420 
2013,B77,남,입원,6 ,6 ,4997170 
2013,B77,여,입원,1 ,1 ,1626350 
2013,B78,남,외래,4 ,5 ,65080 
2013,B78,여,외래,3 ,19 ,85640 
2013,B79,남,외래,51 ,55 ,1256050 
2013,B79,여,외래,49 ,56 ,2985980 
2013,B79,남,입원,1 ,1 ,453650 
2013,B79,여,입원,1 ,1 ,345090 
2013,B80,남,외래,1517 ,1737 ,22503130 
2013,B80,여,외래,1839 ,2046 ,26778260 
2013,B81,남,외래,174 ,208 ,16890390 
2013,B81,여,외래,167 ,214 ,15412180 
2013,B81,남,입원,22 ,22 ,21205540 
2013,B81,여,입원,26 ,26 ,18290790 
2013,B82,남,외래,429 ,533 ,8244880 
2013,B82,여,외래,488 ,593 ,7831690 
2013,B82,남,입원,1 ,1 ,1034280 
2013,B82,여,입원,2 ,2 ,1795630 
2013,B83,남,외래,1236 ,1767 ,48106400 
2013,B83,여,외래,964 ,1266 ,29045100 
2013,B83,남,입원,21 ,24 ,45392510 
2013,B83,여,입원,11 ,12 ,24021310 
2013,B85,남,외래,22539 ,28375 ,382371850 
2013,B85,여,외래,22300 ,26130 ,346684790 
2013,B85,남,입원,4 ,4 ,57510 
2013,B85,여,입원,5 ,5 ,3104830 
